[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='ResNet18', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Tot epochs: 2400
Epoch 0 | Batch 0/100 | Loss 1.706455
Epoch 0 | Batch 10/100 | Loss 1.720642
Epoch 0 | Batch 20/100 | Loss 1.780689
Epoch 0 | Batch 30/100 | Loss 1.866274
Epoch 0 | Batch 40/100 | Loss 1.942952
Epoch 0 | Batch 50/100 | Loss 2.020185
Epoch 0 | Batch 60/100 | Loss 2.109653
Epoch 0 | Batch 70/100 | Loss 2.134447
Epoch 0 | Batch 80/100 | Loss 2.173250
Epoch 0 | Batch 90/100 | Loss 2.211479
One iteration : 8.150270223617554s
100 Test Acc = 23.56% +- 1.21%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 2.164376
Epoch 1 | Batch 10/100 | Loss 2.289989
Epoch 1 | Batch 20/100 | Loss 2.426277
Epoch 1 | Batch 30/100 | Loss 2.452295
Epoch 1 | Batch 40/100 | Loss 2.417657
Epoch 1 | Batch 50/100 | Loss 2.417367
Epoch 1 | Batch 60/100 | Loss 2.408095
Epoch 1 | Batch 70/100 | Loss 2.391734
Epoch 1 | Batch 80/100 | Loss 2.376092
Epoch 1 | Batch 90/100 | Loss 2.371591
Epoch 2 | Batch 0/100 | Loss 1.731642
Epoch 2 | Batch 10/100 | Loss 2.039615
Epoch 2 | Batch 20/100 | Loss 2.108505
Epoch 2 | Batch 30/100 | Loss 2.151625
Epoch 2 | Batch 40/100 | Loss 2.132314
Epoch 2 | Batch 50/100 | Loss 2.132859
Epoch 2 | Batch 60/100 | Loss 2.119151
Epoch 2 | Batch 70/100 | Loss 2.114520
Epoch 2 | Batch 80/100 | Loss 2.110762
Epoch 2 | Batch 90/100 | Loss 2.093571
Epoch 3 | Batch 0/100 | Loss 1.943383
Epoch 3 | Batch 10/100 | Loss 2.012568
Epoch 3 | Batch 20/100 | Loss 2.014136
Epoch 3 | Batch 30/100 | Loss 2.007444
Epoch 3 | Batch 40/100 | Loss 2.006292
Epoch 3 | Batch 50/100 | Loss 1.987237
Epoch 3 | Batch 60/100 | Loss 1.988610
Epoch 3 | Batch 70/100 | Loss 1.984414
Epoch 3 | Batch 80/100 | Loss 1.978216
Epoch 3 | Batch 90/100 | Loss 1.973057
Epoch 4 | Batch 0/100 | Loss 1.827806
Epoch 4 | Batch 10/100 | Loss 1.906905
Epoch 4 | Batch 20/100 | Loss 1.918573
Epoch 4 | Batch 30/100 | Loss 1.902634
Epoch 4 | Batch 40/100 | Loss 1.898228
Epoch 4 | Batch 50/100 | Loss 1.902080
Epoch 4 | Batch 60/100 | Loss 1.910027
Epoch 4 | Batch 70/100 | Loss 1.905841
Epoch 4 | Batch 80/100 | Loss 1.916621
Epoch 4 | Batch 90/100 | Loss 1.912474
Epoch 5 | Batch 0/100 | Loss 2.006145
Epoch 5 | Batch 10/100 | Loss 1.903930
Epoch 5 | Batch 20/100 | Loss 1.904934
Epoch 5 | Batch 30/100 | Loss 1.886290
Epoch 5 | Batch 40/100 | Loss 1.895285
Epoch 5 | Batch 50/100 | Loss 1.892333
Epoch 5 | Batch 60/100 | Loss 1.902940
Epoch 5 | Batch 70/100 | Loss 1.894801
Epoch 5 | Batch 80/100 | Loss 1.885830
