[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='ResNet50', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Inner lr : 0.01
Tot epochs: 2400
Meta-lr : 0.0001
Epoch 0 | Batch 0/100 | Loss 15.978111
Epoch 0 | Batch 10/100 | Loss 13.286502
Epoch 0 | Batch 20/100 | Loss 13.019628
Epoch 0 | Batch 30/100 | Loss 12.930222
Epoch 0 | Batch 40/100 | Loss 12.671730
Epoch 0 | Batch 50/100 | Loss 12.921669
Epoch 0 | Batch 60/100 | Loss 13.006364
Epoch 0 | Batch 70/100 | Loss 12.814864
Epoch 0 | Batch 80/100 | Loss 12.815637
Epoch 0 | Batch 90/100 | Loss 13.013109
One iteration : 16.49098539352417s
100 Test Acc = 21.44% +- 0.78%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 10.869034
Epoch 1 | Batch 10/100 | Loss 12.639182
Epoch 1 | Batch 20/100 | Loss 12.084387
Epoch 1 | Batch 30/100 | Loss 12.100479
Epoch 1 | Batch 40/100 | Loss 12.501772
Epoch 1 | Batch 50/100 | Loss 12.757865
Epoch 1 | Batch 60/100 | Loss 12.809624
Epoch 1 | Batch 70/100 | Loss 12.888709
Epoch 1 | Batch 80/100 | Loss 12.816155
Epoch 1 | Batch 90/100 | Loss 12.937644
Epoch 2 | Batch 0/100 | Loss 5.682493
Epoch 2 | Batch 10/100 | Loss 10.875363
Epoch 2 | Batch 20/100 | Loss 11.001835
Epoch 2 | Batch 30/100 | Loss 11.637942
Epoch 2 | Batch 40/100 | Loss 11.557652
Epoch 2 | Batch 50/100 | Loss 11.456056
Epoch 2 | Batch 60/100 | Loss 11.563921
Epoch 2 | Batch 70/100 | Loss 11.666045
Epoch 2 | Batch 80/100 | Loss 11.552950
Epoch 2 | Batch 90/100 | Loss 11.464879
Epoch 3 | Batch 0/100 | Loss 15.276430
Epoch 3 | Batch 10/100 | Loss 9.751276
Epoch 3 | Batch 20/100 | Loss 10.290056
Epoch 3 | Batch 30/100 | Loss 10.846437
Epoch 3 | Batch 40/100 | Loss 10.935215
Epoch 3 | Batch 50/100 | Loss 11.081985
Epoch 3 | Batch 60/100 | Loss 11.252498
Epoch 3 | Batch 70/100 | Loss 11.456623
Epoch 3 | Batch 80/100 | Loss 11.272056
Epoch 3 | Batch 90/100 | Loss 11.099245
Epoch 4 | Batch 0/100 | Loss 12.010244
Epoch 4 | Batch 10/100 | Loss 10.934255
Epoch 4 | Batch 20/100 | Loss 11.012390
Epoch 4 | Batch 30/100 | Loss 11.509200
Epoch 4 | Batch 40/100 | Loss 11.321556
Epoch 4 | Batch 50/100 | Loss 11.481887
Epoch 4 | Batch 60/100 | Loss 11.714872
Epoch 4 | Batch 70/100 | Loss 11.856147
Epoch 4 | Batch 80/100 | Loss 11.937024
Epoch 4 | Batch 90/100 | Loss 12.028614
Epoch 5 | Batch 0/100 | Loss 11.011485
Epoch 5 | Batch 10/100 | Loss 11.204631
Epoch 5 | Batch 20/100 | Loss 11.548438
Epoch 5 | Batch 30/100 | Loss 11.464280
Epoch 5 | Batch 40/100 | Loss 11.790630
Epoch 5 | Batch 50/100 | Loss 11.710425
Epoch 5 | Batch 60/100 | Loss 11.890595
Epoch 5 | Batch 70/100 | Loss 11.879209
Epoch 5 | Batch 80/100 | Loss 11.839778
Epoch 5 | Batch 90/100 | Loss 11.617351
One iteration : 16.47849154472351s
100 Test Acc = 21.30% +- 0.88%
Epoch 6 | Batch 0/100 | Loss 9.991503
Epoch 6 | Batch 10/100 | Loss 12.512642
Epoch 6 | Batch 20/100 | Loss 12.466959
Epoch 6 | Batch 30/100 | Loss 11.947381
Epoch 6 | Batch 40/100 | Loss 12.200837
Epoch 6 | Batch 50/100 | Loss 12.133802
Epoch 6 | Batch 60/100 | Loss 11.922821
Epoch 6 | Batch 70/100 | Loss 11.859150
Epoch 6 | Batch 80/100 | Loss 11.850406
Epoch 6 | Batch 90/100 | Loss 11.859338
Epoch 7 | Batch 0/100 | Loss 11.783149
Epoch 7 | Batch 10/100 | Loss 13.136211
Epoch 7 | Batch 20/100 | Loss 12.559352
Epoch 7 | Batch 30/100 | Loss 11.960756
Epoch 7 | Batch 40/100 | Loss 12.001172
Epoch 7 | Batch 50/100 | Loss 12.089520
Epoch 7 | Batch 60/100 | Loss 12.070385
Epoch 7 | Batch 70/100 | Loss 12.200512
Epoch 7 | Batch 80/100 | Loss 12.199043
Epoch 7 | Batch 90/100 | Loss 12.063573
Epoch 8 | Batch 0/100 | Loss 9.028502
Epoch 8 | Batch 10/100 | Loss 11.880783
Epoch 8 | Batch 20/100 | Loss 12.086323
Epoch 8 | Batch 30/100 | Loss 12.106337
Epoch 8 | Batch 40/100 | Loss 11.780337
Epoch 8 | Batch 50/100 | Loss 11.848911
Epoch 8 | Batch 60/100 | Loss 12.071281
Epoch 8 | Batch 70/100 | Loss 12.238544
Epoch 8 | Batch 80/100 | Loss 12.144383
Epoch 8 | Batch 90/100 | Loss 12.247356
Epoch 9 | Batch 0/100 | Loss 14.910909
Epoch 9 | Batch 10/100 | Loss 12.613700
Epoch 9 | Batch 20/100 | Loss 11.734241
Epoch 9 | Batch 30/100 | Loss 11.682069
Epoch 9 | Batch 40/100 | Loss 12.037370
Epoch 9 | Batch 50/100 | Loss 12.106317
Epoch 9 | Batch 60/100 | Loss 12.068701
Epoch 9 | Batch 70/100 | Loss 12.165234
Epoch 9 | Batch 80/100 | Loss 12.181570
Epoch 9 | Batch 90/100 | Loss 12.110519
Epoch 10 | Batch 0/100 | Loss 16.985653
Epoch 10 | Batch 10/100 | Loss 13.015572
Epoch 10 | Batch 20/100 | Loss 13.098750
Epoch 10 | Batch 30/100 | Loss 12.821285
Epoch 10 | Batch 40/100 | Loss 13.068230
Epoch 10 | Batch 50/100 | Loss 12.555970
Epoch 10 | Batch 60/100 | Loss 12.391251
Epoch 10 | Batch 70/100 | Loss 12.544618
Epoch 10 | Batch 80/100 | Loss 12.143836
Epoch 10 | Batch 90/100 | Loss 11.963370
One iteration : 16.67694401741028s
100 Test Acc = 21.51% +- 0.91%
--> Best model! save...
Epoch 11 | Batch 0/100 | Loss 12.956085
Epoch 11 | Batch 10/100 | Loss 12.652478
Epoch 11 | Batch 20/100 | Loss 11.423634
Epoch 11 | Batch 30/100 | Loss 11.744963
Epoch 11 | Batch 40/100 | Loss 12.383310
Epoch 11 | Batch 50/100 | Loss 12.603393
Epoch 11 | Batch 60/100 | Loss 12.936472
Epoch 11 | Batch 70/100 | Loss 13.193487
Epoch 11 | Batch 80/100 | Loss 13.426927
Epoch 11 | Batch 90/100 | Loss 13.208607
Epoch 12 | Batch 0/100 | Loss 10.178675
Epoch 12 | Batch 10/100 | Loss 12.881668
Epoch 12 | Batch 20/100 | Loss 12.573841
Epoch 12 | Batch 30/100 | Loss 12.805816
Epoch 12 | Batch 40/100 | Loss 12.894993
Epoch 12 | Batch 50/100 | Loss 12.873922
Epoch 12 | Batch 60/100 | Loss 12.709599
Epoch 12 | Batch 70/100 | Loss 12.351101
