[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
[WARNING] install tensorboardX to record simulation logs.
Conv4
Conv4S
Conv6
Namespace(seed=1, dataset='CUB', model='ResNet18', method='maml', train_n_way=5, test_n_way=5, n_shot=1, train_aug=True, steps=2, tau=1.0, loss='ELBO', mean=0.0, kernel='bncossim', batch_size=1, diff_net=None, num_classes=200, save_freq=50, start_epoch=0, stop_epoch=-1, resume=False, warmup=False)
[INFO] Setting SEED: 1
n_query : 16
Inner lr : 0.01
Tot epochs: 2400
Meta-lr : 0.0001
Epoch 0 | Batch 0/100 | Loss 1.700701
Epoch 0 | Batch 10/100 | Loss 1.662865
Epoch 0 | Batch 20/100 | Loss 1.662284
Epoch 0 | Batch 30/100 | Loss 1.668771
Epoch 0 | Batch 40/100 | Loss 1.669597
Epoch 0 | Batch 50/100 | Loss 1.670993
Epoch 0 | Batch 60/100 | Loss 1.669695
Epoch 0 | Batch 70/100 | Loss 1.670779
Epoch 0 | Batch 80/100 | Loss 1.671311
Epoch 0 | Batch 90/100 | Loss 1.672353
One iteration : 7.922786712646484s
100 Test Acc = 23.91% +- 1.15%
--> Best model! save...
Epoch 1 | Batch 0/100 | Loss 1.661013
Epoch 1 | Batch 10/100 | Loss 1.685810
Epoch 1 | Batch 20/100 | Loss 1.686900
Epoch 1 | Batch 30/100 | Loss 1.691010
Epoch 1 | Batch 40/100 | Loss 1.697087
Epoch 1 | Batch 50/100 | Loss 1.711040
Epoch 1 | Batch 60/100 | Loss 1.716160
Epoch 1 | Batch 70/100 | Loss 1.716261
Epoch 1 | Batch 80/100 | Loss 1.717411
Epoch 1 | Batch 90/100 | Loss 1.719339
Epoch 2 | Batch 0/100 | Loss 1.742233
Epoch 2 | Batch 10/100 | Loss 1.729217
Epoch 2 | Batch 20/100 | Loss 1.751084
Epoch 2 | Batch 30/100 | Loss 1.756774
Epoch 2 | Batch 40/100 | Loss 1.751883
Epoch 2 | Batch 50/100 | Loss 1.750282
Epoch 2 | Batch 60/100 | Loss 1.747432
Epoch 2 | Batch 70/100 | Loss 1.755246
Epoch 2 | Batch 80/100 | Loss 1.751942
Epoch 2 | Batch 90/100 | Loss 1.749763
Epoch 3 | Batch 0/100 | Loss 1.661269
Epoch 3 | Batch 10/100 | Loss 1.762976
Epoch 3 | Batch 20/100 | Loss 1.726963
Epoch 3 | Batch 30/100 | Loss 1.715393
Epoch 3 | Batch 40/100 | Loss 1.723444
Epoch 3 | Batch 50/100 | Loss 1.717116
Epoch 3 | Batch 60/100 | Loss 1.728316
Epoch 3 | Batch 70/100 | Loss 1.727324
Epoch 3 | Batch 80/100 | Loss 1.729026
Epoch 3 | Batch 90/100 | Loss 1.734037
Epoch 4 | Batch 0/100 | Loss 1.699863
Epoch 4 | Batch 10/100 | Loss 1.751022
Epoch 4 | Batch 20/100 | Loss 1.750717
Epoch 4 | Batch 30/100 | Loss 1.746935
Epoch 4 | Batch 40/100 | Loss 1.738123
Epoch 4 | Batch 50/100 | Loss 1.746393
Epoch 4 | Batch 60/100 | Loss 1.751652
Epoch 4 | Batch 70/100 | Loss 1.752395
Epoch 4 | Batch 80/100 | Loss 1.760435
Epoch 4 | Batch 90/100 | Loss 1.761602
Epoch 5 | Batch 0/100 | Loss 1.822277
Epoch 5 | Batch 10/100 | Loss 1.787989
Epoch 5 | Batch 20/100 | Loss 1.809561
Epoch 5 | Batch 30/100 | Loss 1.788122
Epoch 5 | Batch 40/100 | Loss 1.802810
Epoch 5 | Batch 50/100 | Loss 1.800146
Epoch 5 | Batch 60/100 | Loss 1.803679
Epoch 5 | Batch 70/100 | Loss 1.803616
